dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,20.6,0,0,0,0,0,0,-14.8,0.7,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,51,0,0,0,0,0,0,-13.1,0.3,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,105.3,0,0,0,0,0,0,-7.5,0.3,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,142,0,0,0,0,0,0,-5.6,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,202,0,0,0,0,0,0,-4.7,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,50.5,0,0,0,0,0,0,-6.3,0.4,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,100.8,0,0,0,0,0,0,-4.6,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,194.7,0,0,0,0,0,0,-1.8,0.1,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,51,1,1,0,0,0,0,-13.1,0.5,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,100.3,1,1,0,0,0,0,-8.1,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,143.8,1,1,0,0,0,0,-5.3,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,202.4,1,1,0,0,0,0,-4.4,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,50.7,1,1,0,0,0,0,-6.7,0.5,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,104,1,1,0,0,0,0,-4.6,0.3,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,191.4,1,1,0,0,0,0,-1.6,0.1,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,50,3,3,0,0,0,0,-11.4,0.3,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,100.4,3,3,0,0,0,0,-7.3,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,144.1,3,3,0,0,0,0,-4.3,0.1,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,323.1,202.4,3,3,0,0,0,0,-3.4,0.2,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,50.4,3,3,0,0,0,0,-6.85,0.4,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,102.9,3,3,0,0,0,0,-4.6,0.4,T,test-only
koschel2006,Koschel2006_FPE247_T4_T7,co2,dh_sol,373.1,190.2,3,3,0,0,0,0,-1.55,0.1,T,test-only
