dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,0,0,0,0,0,0,78,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,0.25,0.25,0,0,0,0,73,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,0.5,0.5,0,0,0,0,70,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,0.75,0.75,0,0,0,0,67,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,1,1,0,0,0,0,65,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,1.5,1.5,0,0,0,0,60,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,2,2,0,0,0,0,56,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,3,3,0,0,0,0,47,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,3.5,3.5,0,0,0,0,40,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,4,4,0,0,0,0,44,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,4.5,4.5,0,0,0,0,39,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,5,5,0,0,0,0,41,8,T,fit-eligible
eps_r_harness,MariboMogensen2013_Fig8_digitized,,eps_r,298.15,1,5.5,5.5,0,0,0,0,38,8,T,fit-eligible
