dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.01,0.01,0,0,0,0,0.9679462257,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.05,0.05,0,0,0,0,0.9432353125,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.1,0.1,0,0,0,0,0.9319548352,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.2,0.2,0,0,0,0,0.9230499972,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.35,0.35,0,0,0,0,0.919863593,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.5,0.5,0,0,0,0,0.9210011554,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,0.75,0.75,0,0,0,0,0.9269627106,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,1,1,0,0,0,0,0.9356415013,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,1.25,1.25,0,0,0,0,0.9460363787,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,1.5,1.5,0,0,0,0,0.9577114561,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,2,2,0,0,0,0,0.9840245824,0.005,R,fit-eligible
phi_osm_harness,PitzerMayorga1973_TI_TVI,,phi_osm,298.15,1,2.5,2.5,0,0,0,0,1.013458153,0.005,R,fit-eligible
