dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,373.15,,1,1,0,0,0,0,0.9664363277,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,398.15,,1,1,0,0,0,0,0.9655320982,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,423.15,,1,1,0,0,0,0,0.9657563025,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,448.15,,1,1,0,0,0,0,0.9658263305,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,473.15,,1,1,0,0,0,0,0.9659142067,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,498.15,,1,1,0,0,0,0,0.9657308657,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,523.15,,1,1,0,0,0,0,0.9655319791,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,373.15,,3,3,0,0,0,0,0.8943731491,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,398.15,,3,3,0,0,0,0,0.8940112021,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,423.15,,3,3,0,0,0,0,0.8943277311,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,448.15,,3,3,0,0,0,0,0.8944537815,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,473.15,,3,3,0,0,0,0,0.8943983536,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,498.15,,3,3,0,0,0,0,0.8939382058,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,523.15,,3,3,0,0,0,0,0.8933779163,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,373.15,,6,6,0,0,0,0,0.7729516288,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,398.15,,6,6,0,0,0,0,0.7772511848,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,423.15,,6,6,0,0,0,0,0.781302521,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,448.15,,6,6,0,0,0,0,0.7846498599,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,473.15,,6,6,0,0,0,0,0.7873175124,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,498.15,,6,6,0,0,0,0,0.7892487453,0.002,R,fit-eligible
haas1976,Haas1976_USGS1421A_T1_4_9_18,,psat_ratio,523.15,,6,6,0,0,0,0,0.7906275141,0.002,R,fit-eligible
