dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,9,1.06,1.06,0,0,0,0,1038.78,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,99,1.06,1.06,0,0,0,0,1042.49,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,199,1.06,1.06,0,0,0,0,1046.61,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,299,1.06,1.06,0,0,0,0,1050.58,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,399,1.06,1.06,0,0,0,0,1054.45,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,499,1.06,1.06,0,0,0,0,1058.27,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,599,1.06,1.06,0,0,0,0,1061.93,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,684,1.06,1.06,0,0,0,0,1065.11,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,9,3.16,3.16,0,0,0,0,1111.08,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,99,3.16,3.16,0,0,0,0,1114.33,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,199,3.16,3.16,0,0,0,0,1117.89,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,299,3.16,3.16,0,0,0,0,1121.4,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,399,3.16,3.16,0,0,0,0,1124.91,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,499,3.16,3.16,0,0,0,0,1128.21,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,599,3.16,3.16,0,0,0,0,1131.46,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,684,3.16,3.16,0,0,0,0,1134.29,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,9,6,6,0,0,0,0,1194.53,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,99,6,6,0,0,0,0,1197.36,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,199,6,6,0,0,0,0,1200.44,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,299,6,6,0,0,0,0,1203.47,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,399,6,6,0,0,0,0,1206.51,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,499,6,6,0,0,0,0,1209.49,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,599,6,6,0,0,0,0,1212.31,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T298K.txt,,rho,298,684,6,6,0,0,0,0,1214.78,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,9,1.06,1.06,0,0,0,0,1028.45,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,99,1.06,1.06,0,0,0,0,1032.1,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,199,1.06,1.06,0,0,0,0,1036.09,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,299,1.06,1.06,0,0,0,0,1039.95,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,399,1.06,1.06,0,0,0,0,1043.77,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,499,1.06,1.06,0,0,0,0,1047.49,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,599,1.06,1.06,0,0,0,0,1051.1,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,684,1.06,1.06,0,0,0,0,1054.12,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,9,3.16,3.16,0,0,0,0,1098.8,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,99,3.16,3.16,0,0,0,0,1102.1,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,199,3.16,3.16,0,0,0,0,1105.63,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,299,3.16,3.16,0,0,0,0,1109.07,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,399,3.16,3.16,0,0,0,0,1112.54,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,499,3.16,3.16,0,0,0,0,1115.9,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,599,3.16,3.16,0,0,0,0,1119.2,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,684,3.16,3.16,0,0,0,0,1121.87,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,9,6,6,0,0,0,0,1180.58,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,99,6,6,0,0,0,0,1183.46,0.5,T,fit-eligible
rho_alghafri,ALGHAFRI(2012) / EXP_NaCl_T323K.txt,,rho,323,199,6,6,0,0,0,0,1186.57,0.5,T,fit-eligible
