dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,122.76,1.9,1.9,0,0,0,0,0.0134,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,122.76,1.9,1.9,0,0,0,0,0.7539154975,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,259.31,1.9,1.9,0,0,0,0,0.0163,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,259.31,1.9,1.9,0,0,0,0,0.9197799039,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,537.93,1.9,1.9,0,0,0,0,0.0198,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,537.93,1.9,1.9,0,0,0,0,1.121268123,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,27.86,3,3,0,0,0,0,0.0055,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,27.86,3,3,0,0,0,0,0.3069848093,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,131.03,3,3,0,0,0,0,0.0112,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,131.03,3,3,0,0,0,0,0.6287363195,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,356.55,3,3,0,0,0,0,0.0145,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,356.55,3,3,0,0,0,0,0.8167146711,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,548.97,3,3,0,0,0,0,0.0172,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,548.97,3,3,0,0,0,0,0.9714540935,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,217.24,4.82,4.82,0,0,0,0,0.0105,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,217.24,4.82,4.82,0,0,0,0,0.5890233129,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,xc_saltfree,323,572.41,4.82,4.82,0,0,0,0,0.0118,,T,fit-eligible
co2_part1,TEYMOURI(2017),co2,solubility_molality,323,572.41,4.82,4.82,0,0,0,0,0.6628208194,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,51,1,1,0,0,0,0,0.0111,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,51,1,1,0,0,0,0,0.6230595906,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,100.3,1,1,0,0,0,0,0.0164,,R,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,100.3,1,1,0,0,0,0,0.9255168107,,R,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,143.8,1,1,0,0,0,0,0.0177,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,143.8,1,1,0,0,0,0,1.000202892,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,202.4,1,1,0,0,0,0,0.0181,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,202.4,1,1,0,0,0,0,1.023223011,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,50,3,3,0,0,0,0,0.0083,,R,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,50,3,3,0,0,0,0,0.4645759917,,R,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,100.4,3,3,0,0,0,0,0.0114,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,100.4,3,3,0,0,0,0,0.6400932224,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,144.1,3,3,0,0,0,0,0.0124,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,144.1,3,3,0,0,0,0,0.6969467343,,T,fit-eligible
co2_part1,KOSCHEL(2006),co2,xc_saltfree,323,202.4,3,3,0,0,0,0,0.0137,,R,fit-eligible
co2_part1,KOSCHEL(2006),co2,solubility_molality,323,202.4,3,3,0,0,0,0,0.7710286529,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,50.3,1,1,0,0,0,0,0.01156469309,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,50.3,1,1,0,0,0,0,0.6494486902,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,100.2,1,1,0,0,0,0,0.01707343444,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,100.2,1,1,0,0,0,0,0.964181517,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,150.6,1,1,0,0,0,0,0.01841068911,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,150.6,1,1,0,0,0,0,1.041116208,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,200.1,1,1,0,0,0,0,0.01908661269,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,200.1,1,1,0,0,0,0,1.080083129,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,49.9,3,3,0,0,0,0,0.008070339716,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,49.9,3,3,0,0,0,0,0.4516166277,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,100.6,3,3,0,0,0,0,0.01202171971,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,100.6,3,3,0,0,0,0,0.6754266378,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,149.7,3,3,0,0,0,0,0.01267137557,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,149.7,3,3,0,0,0,0,0.7123952556,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,199.6,3,3,0,0,0,0,0.01382810235,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,199.6,3,3,0,0,0,0,0.7783392764,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,50.5,6,6,0,0,0,0,0.00521070632,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,50.5,6,6,0,0,0,0,0.2907531829,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,100.9,6,6,0,0,0,0,0.00782232876,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,100.9,6,6,0,0,0,0,0.437628502,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,149.9,6,6,0,0,0,0,0.008636756577,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,149.9,6,6,0,0,0,0,0.4835894863,,R,fit-eligible
co2_part1,MESSABEB(2016),co2,xc_saltfree,323,200.4,6,6,0,0,0,0,0.009078819853,,T,fit-eligible
co2_part1,MESSABEB(2016),co2,solubility_molality,323,200.4,6,6,0,0,0,0,0.508568282,,T,fit-eligible
co2_part1,YAN(2011),co2,xc_saltfree,323,50,1,1,0,0,0,0,0.01186356603,,T,fit-eligible
co2_part1,YAN(2011),co2,solubility_molality,323,50,1,1,0,0,0,0,0.6664342714,,T,fit-eligible
co2_part1,YAN(2011),co2,xc_saltfree,323,100,1,1,0,0,0,0,0.01700386711,,R,fit-eligible
