dataset_id,source,gas,property,T_K,P_bar,y_co2_dry,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,100.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.000776,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,100.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.008346,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,100.0,0.1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,100.0,0.1955,0.0,0.0,0.0,0.0,0.0,0.0,0.003555,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,200.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.00131,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,200.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,200.0,0.1898,0.0,0.0,0.0,0.0,0.0,0.0,0.00182,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,200.0,0.1898,0.0,0.0,0.0,0.0,0.0,0.0,0.00539,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,500.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.002434,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,500.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.01267,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,500.0,0.1795,0.0,0.0,0.0,0.0,0.0,0.0,0.00319,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,500.0,0.1795,0.0,0.0,0.0,0.0,0.0,0.0,0.006265,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,750.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.003027,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,750.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.014347,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,750.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.003893,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,750.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.007105,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),ch4,xc_saltfree,344.0,1000.0,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.00361,,T,test-only
ternary_ccw_dhima1999,DHIMA(1999),co2,xc_saltfree,344.0,1000.0,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.015071,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,323.0,20.0,0.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,323.0,20.0,0.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.003121,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,323.0,20.0,0.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.01267,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,323.0,60.0,0.5113,0.0,0.0,0.0,0.0,0.0,0.0,0.000707,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,323.0,60.0,0.5113,0.0,0.0,0.0,0.0,0.0,0.0,0.00851,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,323.0,60.0,0.5113,0.0,0.0,0.0,0.0,0.0,0.0,0.00378,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,323.0,100.0,0.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.000989,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,323.0,100.0,0.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.01159,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,323.0,100.0,0.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.00411,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,323.0,140.0,0.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.001303,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,323.0,140.0,0.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,323.0,140.0,0.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.00487,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,323.0,180.0,0.5011,0.0,0.0,0.0,0.0,0.0,0.0,0.001512,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,323.0,180.0,0.5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,323.0,180.0,0.5011,0.0,0.0,0.0,0.0,0.0,0.0,0.00556,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,423.0,20.0,0.5013,0.0,0.0,0.0,0.0,0.0,0.0,0.000281,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,423.0,20.0,0.5013,0.0,0.0,0.0,0.0,0.0,0.0,0.001271,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,423.0,20.0,0.5013,0.0,0.0,0.0,0.0,0.0,0.0,0.3445,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,423.0,60.0,0.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.001029,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,423.0,60.0,0.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,423.0,60.0,0.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.1145,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,423.0,100.0,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.001635,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,423.0,100.0,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.00723,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,423.0,100.0,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.0689,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,423.0,140.0,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.001811,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,423.0,140.0,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,423.0,140.0,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),ch4,xc_saltfree,423.0,180.0,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.001915,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2,xc_saltfree,423.0,180.0,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.01029,,T,test-only
ternary_ccw_alghafri2014,ALGHAFRI(2014),co2-ch4,y_h2o,423.0,180.0,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.04694,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,105.0,0.7436,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,105.0,0.7436,0.0,0.0,0.0,0.0,0.0,0.0,0.01065,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,105.0,0.7436,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,105.0,0.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.00074,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,105.0,0.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.00855,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,105.0,0.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.01906,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,105.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,105.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.00627,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,105.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.01747,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,205.0,0.7402,0.0,0.0,0.0,0.0,0.0,0.0,0.00077,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,205.0,0.7402,0.0,0.0,0.0,0.0,0.0,0.0,0.01524,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,205.0,0.7402,0.0,0.0,0.0,0.0,0.0,0.0,0.02296,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,205.0,0.5248,0.0,0.0,0.0,0.0,0.0,0.0,0.00127,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,205.0,0.5248,0.0,0.0,0.0,0.0,0.0,0.0,0.01186,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,205.0,0.5248,0.0,0.0,0.0,0.0,0.0,0.0,0.01765,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,205.0,0.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,205.0,0.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,205.0,0.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.01581,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,303.0,0.7289,0.0,0.0,0.0,0.0,0.0,0.0,0.00104,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,303.0,0.7289,0.0,0.0,0.0,0.0,0.0,0.0,0.01801,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,303.0,0.7289,0.0,0.0,0.0,0.0,0.0,0.0,0.02317,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,303.0,0.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.00166,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,303.0,0.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.01369,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,303.0,0.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.01905,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,303.0,0.4213,0.0,0.0,0.0,0.0,0.0,0.0,0.00188,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2,xc_saltfree,376.0,303.0,0.4213,0.0,0.0,0.0,0.0,0.0,0.0,0.01074,,T,test-only
ternary_ccw_qin2008,QIN(2008),co2-ch4,y_h2o,376.0,303.0,0.4213,0.0,0.0,0.0,0.0,0.0,0.0,0.01681,,T,test-only
ternary_ccw_qin2008,QIN(2008),ch4,xc_saltfree,376.0,402.0,0.7237,0.0,0.0,0.0,0.0,0.0,0.0,0.00127,,T,test-only
