dataset_id,source,gas,property,T_K,P_bar,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,value,uncertainty,quality,tag
yh2o_c2h6_mohammadi2004,MOHAMMADI(2004),c2h6,y_h2o,282.93,5.06,0,0,0,0,0,0,0.002442,0.0001221,T,test-only
yh2o_c2h6_mohammadi2004,MOHAMMADI(2004),c2h6,y_h2o,288.11,18.59,0,0,0,0,0,0,0.001031,5.155e-05,T,test-only
yh2o_c2h6_mohammadi2004,MOHAMMADI(2004),c2h6,y_h2o,292.95,10.49,0,0,0,0,0,0,0.002204,0.0001102,T,test-only
yh2o_c2h6_mohammadi2004,MOHAMMADI(2004),c2h6,y_h2o,293.1,19.26,0,0,0,0,0,0,0.001305,6.525e-05,T,test-only
yh2o_c2h6_mohammadi2004,MOHAMMADI(2004),c2h6,y_h2o,293.1,29.9,0,0,0,0,0,0,0.000832,4.16e-05,T,test-only
yh2o_c2h6_song1994,SONG(1994),c2h6,y_h2o,288.65,34.21,0,0,0,0,0,0,0.000525,3.15e-05,T,test-only
yh2o_c2h6_song1994,SONG(1994),c2h6,y_h2o,294.45,38.76,0,0,0,0,0,0,0.00065,3.9e-05,T,test-only
yh2o_c2h6_song1994,SONG(1994),c2h6,y_h2o,299.85,43.45,0,0,0,0,0,0,0.000716,4.296e-05,T,test-only
yh2o_c2h6_song1994,SONG(1994),c2h6,y_h2o,303.75,47.14,0,0,0,0,0,0,0.000736,4.416e-05,T,test-only
yh2o_c3h8_song1994,SONG(1994),c3h8,y_h2o,281.95,6.21,0,0,0,0,0,0,0.002,0.00012,T,test-only
yh2o_c3h8_song1994,SONG(1994),c3h8,y_h2o,285.25,6.79,0,0,0,0,0,0,0.002028,0.00012168,T,test-only
yh2o_c3h8_song1994,SONG(1994),c3h8,y_h2o,292.65,8.19,0,0,0,0,0,0,0.002668,0.00016008,T,test-only
yh2o_c3h8_song1994,SONG(1994),c3h8,y_h2o,299.65,8.97,0,0,0,0,0,0,0.003494,0.00020964,T,test-only
