#LIU(2021)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
20.7	0.17	0.202       0.17   0.17    0    0    0    0
41.3	0.17	0.369       0.17   0.17    0    0    0    0
62.0	0.17	0.526       0.17   0.17    0    0    0    0
82.7	0.17	0.653       0.17   0.17    0    0    0    0
103.3	0.17	0.76       0.17   0.17    0    0    0    0
137.9	0.17	0.905       0.17   0.17    0    0    0    0
158.5	0.17	0.968       0.17   0.17    0    0    0    0
172.3	0.17	1.001       0.17   0.17    0    0    0    0
193.0	0.17	1.05       0.17   0.17    0    0    0    0
20.7	0.26	0.198       0.26   0.26    0    0    0    0
41.3	0.26	0.37       0.26   0.26    0    0    0    0
62.0	0.26	0.517       0.26   0.26    0    0    0    0
82.7	0.26	0.642       0.26   0.26    0    0    0    0
103.3	0.26	0.751       0.26   0.26    0    0    0    0
137.9	0.26	0.9       0.26   0.26    0    0    0    0
158.5	0.26	0.9513       0.26   0.26    0    0    0    0
172.3	0.26	0.9835       0.26   0.26    0    0    0    0
193.0	0.26	1.031       0.26   0.26    0    0    0    0
202.6	0.26	1.05       0.26   0.26    0    0    0    0
