#TAKENOUSHI(1965)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1.09	0.6199       1.09   1.09    0    0    0    0
200	1.09	1.0074       1.09   1.09    0    0    0    0
300	1.09	1.1924       1.09   1.09    0    0    0    0
400	1.09	1.3262       1.09   1.09    0    0    0    0
500	1.09	1.4343       1.09   1.09    0    0    0    0
600	1.09	1.5433       1.09   1.09    0    0    0    0
800	1.09	1.7085       1.09   1.09    0    0    0    0
1000	1.09	1.8759       1.09   1.09    0    0    0    0
1200	1.09	2.0170       1.09   1.09    0    0    0    0
100	4.27	0.2580       4.27   4.27    0    0    0    0
200	4.27	0.4619       4.27   4.27    0    0    0    0
300	4.27	0.6391       4.27   4.27    0    0    0    0
400	4.27	0.7284       4.27   4.27    0    0    0    0
500	4.27	0.8184       4.27   4.27    0    0    0    0
600	4.27	0.9391       4.27   4.27    0    0    0    0
800	4.27	1.1222       4.27   4.27    0    0    0    0
1000	4.27	1.2765       4.27   4.27    0    0    0    0
1200	4.27	1.4324       4.27   4.27    0    0    0    0
