# Generated by tools/extract_transcriptions.py -- do not edit by hand.
# path	bytes	data_rows	source_header	sha256
EoS/CH4/CH4-Brine/298K/EXP_CaCl1_T298K.txt	265	6	BLANCO(1977)	7af6488696101cda97179c850ae77da5e124ae241b2f19036f6abcf4a9fc7f2c
EoS/CH4/CH4-Brine/298K/EXP_CaCl2_T298K.txt	335	9	STOESSELL(1982)	7cda4db4f5546de320f6a76066fb8ef6a0f008cc355325bb12aee1f3e4d40d1c
EoS/CH4/CH4-Brine/298K/EXP_CaCl2_T298K_X.txt	766	20	DUFFY(1961)	989c1bd82eab314c7176937b55f84a684e9794cea56abc1c79ac740d9111acbf
EoS/CH4/CH4-Brine/298K/EXP_KCl1_T298K.txt	420	12	STOESSELL(1982)	cbef8454e2d655720d65def1ff13361e1bb6af6a28a0505f4641cf0f0cf61b97
EoS/CH4/CH4-Brine/298K/EXP_MIX1_T298K.txt	438	11	BYRNE(1982)	ab2a943200942fb89cb81dedbb09f761ef3666270e1cf5f7966e9c030df0f008
EoS/CH4/CH4-Brine/298K/EXP_MgCl1_T298K.txt	361	9	STOESSELL(1982)	638eb31ec195991f431e00fe00d4e988133e0dff9a2f23a288e7f515b3c06e1c
EoS/CH4/CH4-Brine/298K/EXP_MgSO1_T298K.txt	361	9	STOESSELL(1982)	262b4bf500803171c672065e52dfa3e7932f29887cb7f16708f7f949230da1c5
EoS/CH4/CH4-Brine/298K/EXP_NaCl1_T298K.txt	420	12	STOESSELL(1982)	ad9e572138b3311d23d4efd2e73ae333e627060a214638f25b9c0cd664fda0eb
EoS/CH4/CH4-Brine/298K/EXP_NaCl2_T298K.txt	979	24	SUSAK(1980)	b05dd5e385888db5810e6fe0b8c1903c9eac6fbc4162c07bb5affe98b2ac9e4d
EoS/CH4/CH4-Brine/298K/EXP_NaSO1_T298K.txt	259	6	STOESSELL(1982)	6aeccb219cb979a63580883ab5a2a31f866265cb25e5969d08785d2a75d575a5
EoS/CH4/CH4-Brine/303K_X/EXP_CaCl1_T303K.txt	299	6	DUFFY(1961)	32477ffb1f812107830623c8be5f998b628850ee015244099956b95a7dd387e0
EoS/CH4/CH4-Brine/303K_X/EXP_MIX1_T303K.txt	163	2	DUFFY(1961)	08f8a72657ed91e9bdb5cbd4cea45d2566c5c3e5a99016ea7fedd8fd13d7ebbb
EoS/CH4/CH4-Brine/303K_X/EXP_NaCl1_T303K.txt	767	22	DUFFY(1961)	383b1645638e50aa255b3cfea718d7e74ddd43a2b36f057d6b1a8af1261a8479
EoS/CH4/CH4-Brine/313K/EXP_KCl1_T313K.txt	895	30	KIEPE(2003)	9c004868f0bbbc5d0692ba80e83800f30f428ff76c6407d53c91c4e11570e5d7
EoS/CH4/CH4-Brine/318K/EXP_NaCl1_T318K.txt	979	24	SUSAK(1980)	778de19dc7e8a3d20774dda1d403f9619f1b0da07d9d4162e3cc4afb6fc4f724
EoS/CH4/CH4-Brine/323K/EXP_CaCl1_T323K.txt	265	6	BLANCO(1977)	144e233723ea68d57797b6efcc4056d7d608f87d7f4ec742d9754b26675ee86c
EoS/CH4/CH4-Brine/323K/EXP_NaCl1_T323K.txt	377	11	OSULLIVAN(1969)	2512a028be437a7d2b2270e09432f50853efefb3e5bd122a3aaadf9817da53be
EoS/CH4/CH4-Brine/333K/EXP_NaCl1_T333K.txt	979	24	SUSAK(1980)	0351be7642cfbf5a5902f3aece7f5fd15379c9d65444b35c717dd773355bafe2
EoS/CH4/CH4-Brine/343K/EXP_CaCl1_T343K.txt	266	6	BLANCO(1977)	c2f40976a660af7c0f44c40cd22ebc76a5e4ef75db36e2a7532db3f6a9b7494f
